Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s001.align.1.tree	24	205.93938051	717.50044
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s002.align.1.tree	18	205.867293807	717.21705
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s003.align.1.tree	24	205.906915498	717.56345
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s004.align.1.tree	18	205.922302548	717.29701
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s005.align.1.tree	8	205.931397067	717.13969
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s006.align.1.tree	24	205.928583143	717.34566
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s007.align.1.tree	20	205.944335621	717.29429
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s008.align.1.tree	26	205.929936063	717.6157
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s009.align.1.tree	12	205.910099356	717.34161
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s010.align.1.tree	12	205.949402565	717.14785
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s011.align.1.tree	22	205.933993412	717.51246
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s012.align.1.tree	18	205.911010534	717.53568
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s013.align.1.tree	24	205.862671715	717.35031
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s014.align.1.tree	18	205.811880291	717.06689
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s015.align.1.tree	14	205.954762527	717.13957
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s016.align.1.tree	26	205.990638583	717.61805
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s017.align.1.tree	22	205.912763651	717.4509
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s018.align.1.tree	16	206.046114389	717.57359
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s019.align.1.tree	20	205.968385918	717.54276
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s020.align.1.tree	18	205.881655523	717.2728
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s021.align.1.tree	22	205.911980391	717.44479
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s022.align.1.tree	20	205.972901782	717.50745
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s023.align.1.tree	18	205.922142705	717.45814
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s024.align.1.tree	8	205.978146177	717.17121
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s025.align.1.tree	26	206.006633913	717.68128
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s026.align.1.tree	14	205.937361479	717.12572
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s027.align.1.tree	14	205.934010684	717.27718
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s028.align.1.tree	26	205.992548723	717.72219
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s029.align.1.tree	18	205.970028707	717.55537
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s030.align.1.tree	14	205.876840049	717.19285
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s031.align.1.tree	18	205.936144006	717.36464
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s032.align.1.tree	20	205.949797145	717.47103
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s033.align.1.tree	22	205.935395346	717.51315
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s034.align.1.tree	10	205.848609048	716.85956
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s035.align.1.tree	22	205.882450998	717.40377
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s036.align.1.tree	16	205.912347695	717.22475
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s037.align.1.tree	18	205.921027146	717.22193
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s038.align.1.tree	26	205.85954466	717.18521
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s039.align.1.tree	16	205.837449697	716.97444
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s040.align.1.tree	20	205.945034776	717.25357
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s041.align.1.tree	20	206.001689032	717.8348
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s042.align.1.tree	24	205.966766311	717.66947
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s043.align.1.tree	24	205.853789184	717.22529
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s044.align.1.tree	20	205.993764675	717.73699
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s045.align.1.tree	16	205.879080144	716.91385
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s046.align.1.tree	22	205.968712985	717.68243
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s047.align.1.tree	20	205.922378675	717.29671
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s048.align.1.tree	18	205.966082287	717.4065
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s049.align.1.tree	20	205.906876441	717.22819
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s050.align.1.tree	26	205.816556685	717.35152
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s051.align.1.tree	14	205.988031817	717.21262
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s052.align.1.tree	20	205.989475205	717.63983
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s053.align.1.tree	20	205.908045166	717.52811
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s054.align.1.tree	16	205.937325264	717.46603
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s055.align.1.tree	24	205.999555885	717.53341
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s056.align.1.tree	26	205.873784008	717.34046
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s057.align.1.tree	20	205.986833583	717.52482
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s058.align.1.tree	24	205.858323214	717.15155
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s059.align.1.tree	18	205.941314369	717.43703
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s060.align.1.tree	16	205.893590637	717.21834
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s061.align.1.tree	18	205.92459598	717.18533
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s062.align.1.tree	18	205.954901831	717.41526
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s063.align.1.tree	22	205.966590631	717.54829
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s064.align.1.tree	22	205.987613066	717.67388
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s065.align.1.tree	26	205.893257725	717.43661
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s066.align.1.tree	22	205.932630824	717.39433
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s067.align.1.tree	20	205.92583526	717.45932
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s068.align.1.tree	24	205.973260855	717.42715
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s069.align.1.tree	20	205.933760877	717.28274
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s070.align.1.tree	20	205.985917333	717.41539
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s071.align.1.tree	18	205.941099819	717.17157
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s072.align.1.tree	24	205.95796804	717.66667
inputs/asymmetric_0.5/asymmetric_0.5.tree	outputs/asymmetric_0.5/s073.align.1.tree	16	205.815670153	716.85603
