Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s001.align.1.tree	20	239.373995635	925.04787
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s002.align.1.tree	22	239.411814958	925.25024
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s003.align.1.tree	16	239.207309079	924.25433
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s004.align.1.tree	22	239.282717539	924.93291
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s005.align.1.tree	26	239.342401093	925.2068
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s006.align.1.tree	20	239.308016924	924.83645
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s007.align.1.tree	20	239.366396953	924.97309
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s008.align.1.tree	18	239.414926451	925.02411
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s009.align.1.tree	24	239.343401436	925.19953
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s010.align.1.tree	20	239.35055127	924.86271
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s011.align.1.tree	20	239.422396914	925.02651
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s012.align.1.tree	24	239.292791721	924.82037
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s013.align.1.tree	18	239.340164259	925.01877
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s014.align.1.tree	20	239.331372272	924.80236
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s015.align.1.tree	20	239.403428063	924.97937
