Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s001.align.1.tree	22	238.713377082	923.15596
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s002.align.1.tree	18	238.990709488	924.53279
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s003.align.1.tree	16	238.807123634	923.4561
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s004.align.1.tree	14	239.022832621	923.63329
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s005.align.1.tree	14	238.530398501	922.19552
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s006.align.1.tree	20	238.878616981	923.34251
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s007.align.1.tree	22	238.532893156	922.4169
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s008.align.1.tree	20	238.93251614	923.45017
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s009.align.1.tree	18	238.895848682	923.57985
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s010.align.1.tree	22	238.979984524	924.66355
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s011.align.1.tree	24	239.081166608	924.61499
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s012.align.1.tree	22	238.893219176	923.78213
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s013.align.1.tree	22	238.837298308	923.62984
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s014.align.1.tree	12	238.888295423	922.72323
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s015.align.1.tree	10	238.711067456	922.06795
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s016.align.1.tree	20	238.913047408	924.01331
inputs/symmetric_2.0/symmetric_2.0.tree	inputs/symmetric_2.0/s017.align.1.tree	20	238.854705532	923.93345
