Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/asymmetric_1.0.tree	0	0.0	0.0
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s001.align.1.tree	20	205.683787821	716.62744
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s002.align.1.tree	24	205.697062679	717.05539
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s003.align.1.tree	22	205.734755675	716.77445
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s004.align.1.tree	20	205.708592236	717.04304
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s005.align.1.tree	22	205.711077973	717.2939
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s006.align.1.tree	18	205.64127864	716.62069
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s007.align.1.tree	22	205.702949543	717.13422
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s008.align.1.tree	16	205.820129228	717.12047
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s009.align.1.tree	22	205.687086276	716.86781
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s010.align.1.tree	18	205.865868125	717.23145
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s011.align.1.tree	16	205.6221833	716.50483
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s012.align.1.tree	26	205.755749725	717.03932
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s013.align.1.tree	24	205.596053369	716.87379
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s014.align.1.tree	20	205.713720265	717.09174
inputs/asymmetric_1.0/asymmetric_1.0.tree	inputs/asymmetric_1.0/s015.align.1.tree	18	205.624394188	716.21211
