Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s001.align.1.tree	22	205.850380835	717.12426
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s002.align.1.tree	18	205.770708741	716.96423
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s003.align.1.tree	18	205.815248234	716.99705
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s004.align.1.tree	18	205.835636174	717.04019
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s005.align.1.tree	18	205.842554273	717.16755
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s006.align.1.tree	26	205.747433989	717.19416
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s007.align.1.tree	20	205.816752557	717.04191
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s008.align.1.tree	16	205.888481089	717.25844
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s009.align.1.tree	22	205.84106316	717.14859
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s010.align.1.tree	14	205.925918537	717.15796
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s011.align.1.tree	26	205.823204824	717.41199
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s012.align.1.tree	26	205.90010699	717.3994
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s013.align.1.tree	24	205.735172564	717.11299
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s014.align.1.tree	20	205.787579906	717.10485
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s015.align.1.tree	18	205.736406231	716.66897
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s016.align.1.tree	24	205.946126773	717.27724
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s017.align.1.tree	20	205.799647755	717.0515
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s018.align.1.tree	16	205.921537694	717.13127
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s019.align.1.tree	22	205.817200563	717.25551
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s020.align.1.tree	12	205.778760323	716.55158
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s021.align.1.tree	26	205.745387363	716.95503
