Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s001.align.1.tree	18	239.014029483	924.05891
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s002.align.1.tree	20	239.189601511	924.36348
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s003.align.1.tree	20	238.96881802	923.79784
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s004.align.1.tree	22	239.099719518	924.2849
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s005.align.1.tree	24	239.149870481	924.62456
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s006.align.1.tree	20	239.177204364	924.38945
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s007.align.1.tree	14	239.122946811	924.02988
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s008.align.1.tree	18	239.16299071	924.42311
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s009.align.1.tree	20	239.096675533	924.26607
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s010.align.1.tree	20	239.116709529	924.24763
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s011.align.1.tree	24	239.256086344	924.91098
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s012.align.1.tree	20	239.059654039	924.082
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s013.align.1.tree	18	239.093484748	924.12058
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s014.align.1.tree	18	239.123908546	923.75716
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s015.align.1.tree	14	239.165748081	924.31921
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s016.align.1.tree	4	239.186308748	923.64556
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s017.align.1.tree	18	239.200252486	924.92418
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s018.align.1.tree	10	239.276910069	924.10943
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s019.align.1.tree	14	239.253775459	923.84652
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s020.align.1.tree	22	239.164614065	924.7954
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s021.align.1.tree	14	239.241262956	924.38803
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s022.align.1.tree	22	239.068334342	924.28253
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s023.align.1.tree	12	239.060204284	923.4364
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s024.align.1.tree	20	239.151428402	924.75056
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s025.align.1.tree	16	239.147934725	924.12103
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s026.align.1.tree	14	239.06222607	923.81693
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s027.align.1.tree	16	239.216270541	924.25629
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s028.align.1.tree	18	239.1353558	924.15672
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s029.align.1.tree	18	239.080774116	923.99708
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s030.align.1.tree	20	239.117099732	924.46479
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s031.align.1.tree	20	238.981748525	923.75283
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s032.align.1.tree	20	239.029614654	924.05865
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s033.align.1.tree	12	239.175529291	924.06569
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s034.align.1.tree	20	239.23664657	924.87875
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s035.align.1.tree	14	239.168716928	924.23205
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s036.align.1.tree	20	239.082994873	923.95609
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s037.align.1.tree	20	239.160514103	924.75243
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s038.align.1.tree	10	239.101981384	923.7875
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s039.align.1.tree	24	239.070900888	924.5841
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s040.align.1.tree	18	239.095382426	923.77549
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s041.align.1.tree	14	239.146787727	923.98367
inputs/symmetric_1.0/symmetric_1.0.tree	inputs/symmetric_1.0/s042.align.1.tree	16	239.103201634	923.8658
