Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s001.align.1.tree	14	239.163894628	924.18656
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s002.align.1.tree	22	239.341738464	925.41419
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s003.align.1.tree	14	239.213866247	924.35014
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s004.align.1.tree	26	239.360429824	925.37119
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s005.align.1.tree	24	239.133167799	924.71478
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s006.align.1.tree	22	239.279730554	924.97982
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s007.align.1.tree	16	239.144193601	923.8161
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s008.align.1.tree	20	239.363519275	925.17973
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s009.align.1.tree	18	239.226874052	924.48771
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s010.align.1.tree	22	239.172603043	924.52654
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s011.align.1.tree	24	239.352946463	925.21127
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s012.align.1.tree	20	239.350527071	924.73813
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s013.align.1.tree	22	239.131565035	924.27668
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s014.align.1.tree	16	239.309624263	924.64742
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s015.align.1.tree	18	239.294672679	924.79067
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s016.align.1.tree	24	239.329976473	925.21904
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s017.align.1.tree	18	239.249397322	924.79469
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s018.align.1.tree	20	239.246253809	924.64883
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s019.align.1.tree	24	239.328630451	925.01044
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s020.align.1.tree	20	239.408427757	925.17113
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s021.align.1.tree	24	239.350709733	925.13954
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s022.align.1.tree	14	239.325692085	924.5067
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s023.align.1.tree	18	239.334401602	924.67478
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s024.align.1.tree	16	239.303285009	924.70697
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s025.align.1.tree	24	239.474356145	925.48711
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s026.align.1.tree	20	239.24936884	924.82334
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s027.align.1.tree	18	239.246013943	924.52583
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s028.align.1.tree	26	239.23938813	924.69271
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s029.align.1.tree	20	239.210428168	924.90057
