,asymmetric 0.5,,asymmetric 1.0,,asymmetric 2.0,,symmetric 0.5,,symmetric 1.0,,symmetric 2.0,
,Original Trees,Noise-reduced Trees,Original Trees,Noise-reduced Trees,Original Trees,Noise-reduced Trees,Original Trees,Noise-reduced Trees,Original Trees,Noise-reduced Trees,Original Trees,Noise-reduced Trees
1,24,24,20,22,14,18,12,12,18,20,22,14
2,20,18,24,18,24,22,20,20,20,22,18,22
3,18,24,22,18,24,18,16,22,20,16,16,14
4,20,18,20,18,20,24,14,18,22,22,14,26
5,16,8,22,18,18,22,18,24,24,26,14,24
6,24,24,18,26,24,24,16,18,20,20,20,22
7,20,20,22,20,14,22,18,18,14,20,22,16
8,26,26,16,16,16,12,22,22,18,18,20,20
9,16,12,22,22,24,26,18,22,20,24,18,18
10,16,12,18,14,18,16,18,22,20,20,22,22
11,24,22,16,26,20,10,10,16,24,20,24,24
12,18,18,26,26,26,24,20,22,20,24,22,20
13,26,24,24,24,22,24,22,20,18,18,22,22
14,16,18,20,20,26,26,20,20,18,20,12,16
15,10,14,18,18,24,26,24,22,14,20,10,18
16,26,26,12,24,26,22,12,10,4,14,20,24
17,20,22,20,20,18,20,24,24,18,22,20,18
18,10,16,14,16,20,16,18,16,10,22,20,20
19,22,20,18,22,22,20,22,22,14,24,22,24
20,20,18,12,12,18,22,20,18,22,14,22,20
21,24,22,26,26,26,26,16,22,14,20,12,24
22,20,20,16,22,26,26,22,12,22,24,18,14
23,16,18,24,26,26,26,20,18,12,12,20,18
24,6,8,24,22,14,24,16,16,20,20,12,16
25,26,26,18,18,24,24,22,20,16,20,18,24
26,14,14,16,16,18,20,16,16,14,16,18,20
27,14,14,24,24,20,24,16,18,16,20,18,18
28,26,26,16,14,22,22,18,12,18,14,22,26
29,16,18,22,16,20,16,20,20,18,18,22,20
30,18,14,24,24,18,24,20,18,20,22,20,24
31,18,18,26,24,22,20,8,6,20,22,22,24
32,20,20,22,22,16,20,16,20,20,26,22,24
33,22,22,24,20,18,24,18,18,12,14,22,22
34,6,10,18,26,20,26,18,18,20,18,20,24
35,20,22,18,22,12,18,16,16,14,12,18,22
36,14,16,20,22,26,26,16,22,20,18,22,26
37,20,18,18,20,22,22,14,16,20,22,22,20
38,26,26,16,18,24,24,20,18,10,8,20,24
39,16,16,24,26,22,26,10,8,24,24,16,20
40,20,20,26,16,24,24,20,18,18,12,22,24
41,22,20,22,24,26,20,14,16,14,18,18,24
42,24,24,20,26,22,18,14,18,16,20,18,20
43,20,24,24,24,24,24,14,12,22,16,14,20
44,20,20,16,22,18,18,22,22,20,22,26,26
45,18,16,24,26,22,16,16,4,20,20,14,18
46,20,22,20,20,20,22,18,20,14,16,16,20
47,20,20,20,24,26,26,14,16,16,16,24,24
48,16,18,20,22,22,26,16,20,18,22,16,12
49,20,20,16,14,20,20,18,18,18,14,20,24
50,20,26,18,26,20,26,22,20,22,18,24,24
51,16,14,24,26,18,26,16,16,18,10,18,18
52,16,20,20,22,20,20,22,24,16,20,22,22
53,20,20,10,14,24,26,12,16,22,24,16,16
54,14,16,26,22,16,12,10,10,22,24,14,20
55,22,24,18,18,24,22,22,24,24,22,24,26
56,26,26,18,18,24,24,14,16,18,22,24,22
57,20,20,12,12,24,22,24,22,22,18,18,20
58,22,24,26,26,22,24,18,24,16,18,20,20
59,18,18,14,20,22,16,16,16,12,16,14,20
60,18,16,26,26,22,26,16,18,16,12,26,26
61,20,18,16,18,16,14,16,20,20,16,18,22
62,18,18,22,16,22,24,16,20,6,8,14,12
63,24,22,24,24,26,22,16,10,16,22,16,22
64,18,22,20,20,20,24,18,20,18,20,18,14
65,26,26,26,26,22,24,12,14,16,16,24,20
66,16,22,22,20,18,20,18,18,14,16,24,22
67,24,20,24,22,22,20,12,12,16,16,24,26
68,24,24,22,26,24,22,14,14,18,22,20,22
69,22,20,20,20,18,20,10,16,22,24,20,24
70,18,20,20,14,20,24,6,18,12,22,14,22
71,12,18,26,26,20,26,14,18,10,18,20,26
72,24,24,20,10,20,20,20,20,10,14,20,20
73,16,16,26,26,16,22,22,18,18,18,22,22
74,26,22,22,24,24,20,16,20,20,24,20,24
75,20,22,26,26,22,22,22,20,16,18,14,22
76,22,26,20,18,16,22,20,18,22,16,18,14
77,12,14,24,24,20,16,20,12,22,22,22,22
78,22,26,16,16,24,22,18,18,18,22,20,18
79,12,12,22,18,24,22,18,18,22,24,20,18
80,20,18,22,20,26,26,22,16,22,20,22,24
81,22,20,20,18,24,24,18,22,18,18,26,26
82,18,20,22,18,26,26,16,20,22,22,22,22
83,16,14,18,26,26,22,18,22,14,22,20,22
84,22,22,24,24,18,10,20,14,20,16,18,20
